TransactionID	CardID	 TransactionAmount 	 TransactionRevenue 	TransactionDate	SettlementDate	AssignedFeePercentage
32	1100.00	 85 870.00 	 873.86 Kè 	20.01.2023	2023-01-21	1.02%
33	1131.00	 64 291.00 	 857.61 Kè 	18.01.2023	2023-01-19	1.33%
34	1154.00	 27 275.00 	 310.65 Kè 	06.01.2023	2023-01-08	1.14%
35	1109.00	 66 515.00 	 1 016.79 Kè 	21.01.2023	2023-01-22	1.53%
36	1016.00	 83 230.00 	 1 378.80 Kè 	20.01.2023	2023-01-23	1.66%
37	1120.00	 77 048.00 	 1 447.37 Kè 	03.01.2023	2023-01-04	1.88%
38	1170.00	 82 351.00 	 1 097.38 Kè 	11.01.2023	2023-01-13	1.33%
39	1018.00	 58 020.00 	 673.01 Kè 	10.01.2023	2023-01-11	1.16%
40	1045.00	 28 313.00 	 518.25 Kè 	24.01.2023	2023-01-26	1.83%
41	1183.00	 11 696.00 	 119.84 Kè 	04.01.2023	2023-01-05	1.02%
42	1113.00	 54 016.00 	 1 023.52 Kè 	10.01.2023	2023-01-14	1.89%
43	1046.00	 25 011.00 	 273.16 Kè 	11.01.2023	2023-01-14	1.09%
44	1134.00	 17 429.00 	 190.58 Kè 	20.01.2023	2023-01-24	1.09%
45	1073.00	 77 654.00 	 1 541.22 Kè 	20.01.2023	2023-01-21	1.98%
46	1021.00	 92 737.00 	 1 278.74 Kè 	17.01.2023	2023-01-20	1.38%
47	1135.00	 57 447.00 	 1 020.81 Kè 	20.01.2023	2023-01-24	1.78%
48	1087.00	 76 872.00 	 858.80 Kè 	06.01.2023	2023-01-08	1.12%
49	1014.00	 25 506.00 	 503.34 Kè 	02.01.2023	2023-01-06	1.97%
50	1122.00	 75 186.00 	 1 261.78 Kè 	25.01.2023	2023-01-27	1.68%
51	1199.00	 92 468.00 	 1 010.43 Kè 	21.01.2023	2023-01-25	1.09%
52	1105.00	 61 796.00 	 707.27 Kè 	02.01.2023	2023-01-03	1.14%
53	1052.00	 55 345.00 	 617.07 Kè 	09.01.2023	2023-01-13	1.11%
54	1197.00	 35 923.00 	 399.54 Kè 	09.01.2023	2023-01-13	1.11%
55	1144.00	 99 781.00 	 1 593.10 Kè 	21.01.2023	2023-01-25	1.60%
56	1172.00	 63 280.00 	 695.32 Kè 	01.01.2023	2023-01-05	1.10%
57	1171.00	 57 295.00 	 595.43 Kè 	21.01.2023	2023-01-24	1.04%
58	1068.00	 94 333.00 	 1 265.19 Kè 	03.01.2023	2023-01-04	1.34%
59	1033.00	 64 608.00 	 1 202.87 Kè 	07.01.2023	2023-01-08	1.86%
60	1045.00	 86 655.00 	 1 606.59 Kè 	01.01.2023	2023-01-02	1.85%
61	1031.00	 66 065.00 	 674.12 Kè 	09.01.2023	2023-01-11	1.02%
62	1108.00	 62 483.00 	 896.29 Kè 	04.01.2023	2023-01-07	1.43%
63	1105.00	 72 593.00 	 735.46 Kè 	18.01.2023	2023-01-20	1.01%
64	1145.00	 25 287.00 	 434.97 Kè 	10.01.2023	2023-01-13	1.72%
65	1057.00	 5 573.00 	 77.69 Kè 	12.01.2023	2023-01-15	1.39%
66	1196.00	 64 428.00 	 917.73 Kè 	05.01.2023	2023-01-07	1.42%
67	1190.00	 52 078.00 	 527.17 Kè 	24.01.2023	2023-01-27	1.01%
68	1058.00	 15 931.00 	 196.05 Kè 	16.01.2023	2023-01-18	1.23%
69	1129.00	 69 010.00 	 718.04 Kè 	22.01.2023	2023-01-26	1.04%
70	1174.00	 41 805.00 	 672.77 Kè 	04.01.2023	2023-01-07	1.61%
71	1034.00	 80 039.00 	 1 177.38 Kè 	23.01.2023	2023-01-25	1.47%
72	1199.00	 20 971.00 	 217.61 Kè 	15.01.2023	2023-01-17	1.04%
73	1125.00	 94 617.00 	 1 437.79 Kè 	23.01.2023	2023-01-27	1.52%
74	1084.00	 85 938.00 	 879.25 Kè 	24.01.2023	2023-01-25	1.02%
75	1091.00	 29 423.00 	 554.32 Kè 	12.01.2023	2023-01-13	1.88%
76	1027.00	 27 028.00 	 385.57 Kè 	14.01.2023	2023-01-17	1.43%
77	1181.00	 40 856.00 	 429.65 Kè 	17.01.2023	2023-01-19	1.05%
78	1110.00	 11 657.00 	 181.61 Kè 	26.01.2023	2023-01-28	1.56%
79	1062.00	 48 551.00 	 722.03 Kè 	17.01.2023	2023-01-18	1.49%
80	1117.00	 63 389.00 	 717.01 Kè 	16.01.2023	2023-01-19	1.13%
81	1099.00	 71 913.00 	 1 173.04 Kè 	04.01.2023	2023-01-08	1.63%
82	1111.00	 63 483.00 	 1 264.37 Kè 	16.01.2023	2023-01-20	1.99%
83	1056.00	 9 811.00 	 108.67 Kè 	22.01.2023	2023-01-26	1.11%
84	1100.00	 19 364.00 	 302.79 Kè 	02.01.2023	2023-01-04	1.56%
85	1063.00	 58 390.00 	 816.51 Kè 	11.01.2023	2023-01-13	1.40%
86	1075.00	 48 601.00 	 546.24 Kè 	11.01.2023	2023-01-14	1.12%
87	1055.00	 31 102.00 	 311.28 Kè 	01.01.2023	2023-01-05	1.00%
88	1077.00	 54 104.00 	 923.02 Kè 	27.01.2023	2023-01-29	1.71%
89	1192.00	 91 752.00 	 1 594.23 Kè 	25.01.2023	2023-01-28	1.74%
90	1170.00	 73 583.00 	 1 322.44 Kè 	14.01.2023	2023-01-18	1.80%
91	1115.00	 32 615.00 	 503.31 Kè 	05.01.2023	2023-01-09	1.54%
92	1139.00	 56 637.00 	 591.40 Kè 	16.01.2023	2023-01-18	1.04%
93	1055.00	 46 771.00 	 717.67 Kè 	14.01.2023	2023-01-15	1.53%
94	1094.00	 72 730.00 	 811.66 Kè 	18.01.2023	2023-01-21	1.12%
95	1059.00	 72 687.00 	 806.32 Kè 	03.01.2023	2023-01-07	1.11%
96	1018.00	 81 575.00 	 1 515.92 Kè 	26.01.2023	2023-01-30	1.86%
97	1094.00	 5 137.00 	 76.93 Kè 	12.01.2023	2023-01-13	1.50%
98	1104.00	 20 868.00 	 356.34 Kè 	02.01.2023	2023-01-06	1.71%
99	1067.00	 70 677.00 	 719.01 Kè 	05.01.2023	2023-01-06	1.02%
100	1194.00	 52 892.00 	 748.91 Kè 	06.01.2023	2023-01-09	1.42%
101	1036.00	 69 007.00 	 1 255.34 Kè 	07.01.2023	2023-01-09	1.82%
102	1099.00	 74 951.00 	 1 078.01 Kè 	16.01.2023	2023-01-17	1.44%
103	1172.00	 66 773.00 	 1 003.29 Kè 	08.01.2023	2023-01-09	1.50%
104	1191.00	 74 199.00 	 994.25 Kè 	08.01.2023	2023-01-11	1.34%
105	1095.00	 77 852.00 	 1 516.32 Kè 	01.01.2023	2023-01-02	1.95%
106	1123.00	 1 371.00 	 27.08 Kè 	10.01.2023	2023-01-11	1.98%
107	1055.00	 66 744.00 	 728.46 Kè 	20.01.2023	2023-01-24	1.09%
108	1019.00	 48 777.00 	 530.47 Kè 	05.01.2023	2023-01-08	1.09%
109	1037.00	 69 843.00 	 1 178.95 Kè 	01.01.2023	2023-01-05	1.69%
110	1114.00	 61 149.00 	 868.42 Kè 	02.01.2023	2023-01-05	1.42%
111	1001.00	 73 319.00 	 1 319.33 Kè 	01.01.2023	2023-01-04	1.80%
112	1174.00	 2 661.00 	 46.78 Kè 	16.01.2023	2023-01-19	1.76%
113	1157.00	 69 825.00 	 1 201.12 Kè 	11.01.2023	2023-01-12	1.72%
114	1198.00	 89 367.00 	 981.48 Kè 	26.01.2023	2023-01-27	1.10%
115	1135.00	 95 635.00 	 1 854.14 Kè 	17.01.2023	2023-01-18	1.94%
116	1164.00	 19 792.00 	 283.36 Kè 	26.01.2023	2023-01-30	1.43%
117	1179.00	 25 221.00 	 418.51 Kè 	23.01.2023	2023-01-24	1.66%
118	1073.00	 46 624.00 	 561.27 Kè 	22.01.2023	2023-01-24	1.20%
119	1113.00	 70 116.00 	 1 154.08 Kè 	01.01.2023	2023-01-05	1.65%
120	1101.00	 39 560.00 	 449.65 Kè 	10.01.2023	2023-01-12	1.14%
121	1051.00	 21 459.00 	 422.10 Kè 	05.01.2023	2023-01-09	1.97%
122	1078.00	 48 186.00 	 643.70 Kè 	17.01.2023	2023-01-21	1.34%
123	1107.00	 41 521.00 	 672.89 Kè 	20.01.2023	2023-01-22	1.62%
124	1008.00	 71 484.00 	 1 255.22 Kè 	15.01.2023	2023-01-16	1.76%
125	1119.00	 63 102.00 	 716.11 Kè 	02.01.2023	2023-01-06	1.13%
126	1170.00	 75 623.00 	 790.82 Kè 	27.01.2023	2023-01-29	1.05%
127	1029.00	 34 472.00 	 428.09 Kè 	13.01.2023	2023-01-14	1.24%
128	1045.00	 79 239.00 	 850.08 Kè 	05.01.2023	2023-01-07	1.07%
129	1185.00	 38 011.00 	 443.07 Kè 	25.01.2023	2023-01-29	1.17%
130	1150.00	 36 412.00 	 699.23 Kè 	13.01.2023	2023-01-14	1.92%
131	1069.00	 13 073.00 	 163.03 Kè 	14.01.2023	2023-01-17	1.25%
132	1159.00	 83 992.00 	 1 230.94 Kè 	20.01.2023	2023-01-21	1.47%
133	1156.00	 86 763.00 	 1 261.92 Kè 	27.01.2023	2023-01-31	1.45%
134	1151.00	 34 395.00 	 498.91 Kè 	04.01.2023	2023-01-05	1.45%
135	1025.00	 99 029.00 	 1 683.88 Kè 	12.01.2023	2023-01-15	1.70%
136	1145.00	 57 385.00 	 655.55 Kè 	16.01.2023	2023-01-19	1.14%
137	1181.00	 54 249.00 	 905.99 Kè 	01.01.2023	2023-01-03	1.67%
138	1026.00	 32 354.00 	 622.53 Kè 	15.01.2023	2023-01-18	1.92%
139	1167.00	 45 449.00 	 822.92 Kè 	03.01.2023	2023-01-06	1.81%
140	1035.00	 78 342.00 	 1 095.92 Kè 	12.01.2023	2023-01-14	1.40%
141	1150.00	 88 615.00 	 1 040.19 Kè 	19.01.2023	2023-01-20	1.17%
142	1098.00	 17 633.00 	 276.04 Kè 	09.01.2023	2023-01-10	1.57%
143	1001.00	 44 066.00 	 757.00 Kè 	16.01.2023	2023-01-19	1.72%
144	1133.00	 51 108.00 	 655.25 Kè 	06.01.2023	2023-01-07	1.28%
145	1099.00	 46 422.00 	 480.52 Kè 	14.01.2023	2023-01-16	1.04%
146	1166.00	 33 043.00 	 355.91 Kè 	23.01.2023	2023-01-27	1.08%
147	1176.00	 32 910.00 	 331.07 Kè 	20.01.2023	2023-01-21	1.01%
148	1153.00	 65 945.00 	 1 022.35 Kè 	27.01.2023	2023-01-30	1.55%
149	1138.00	 65 081.00 	 831.34 Kè 	15.01.2023	2023-01-18	1.28%
150	1026.00	 55 284.00 	 863.10 Kè 	23.01.2023	2023-01-25	1.56%
151	1113.00	 76 841.00 	 1 172.09 Kè 	10.01.2023	2023-01-14	1.53%
152	1157.00	 42 022.00 	 696.08 Kè 	21.01.2023	2023-01-24	1.66%
153	1070.00	 53 454.00 	 628.09 Kè 	06.01.2023	2023-01-07	1.18%
154	1004.00	 72 724.00 	 1 217.16 Kè 	06.01.2023	2023-01-08	1.67%
155	1080.00	 6 768.00 	 70.40 Kè 	24.01.2023	2023-01-25	1.04%
156	1037.00	 17 012.00 	 270.17 Kè 	02.01.2023	2023-01-04	1.59%
157	1094.00	 33 021.00 	 631.49 Kè 	14.01.2023	2023-01-18	1.91%
158	1004.00	 64 002.00 	 831.60 Kè 	20.01.2023	2023-01-24	1.30%
159	1063.00	 26 403.00 	 275.46 Kè 	25.01.2023	2023-01-29	1.04%
160	1131.00	 21 843.00 	 360.81 Kè 	13.01.2023	2023-01-15	1.65%
161	1144.00	 15 731.00 	 283.05 Kè 	18.01.2023	2023-01-20	1.80%
162	1155.00	 85 560.00 	 1 615.02 Kè 	19.01.2023	2023-01-22	1.89%
163	1159.00	 14 681.00 	 196.93 Kè 	06.01.2023	2023-01-10	1.34%
164	1070.00	 8 961.00 	 139.75 Kè 	13.01.2023	2023-01-16	1.56%
165	1049.00	 77 359.00 	 888.78 Kè 	21.01.2023	2023-01-24	1.15%
166	1197.00	 22 157.00 	 323.88 Kè 	05.01.2023	2023-01-08	1.46%
167	1179.00	 35 165.00 	 403.34 Kè 	01.01.2023	2023-01-05	1.15%
168	1138.00	 70 853.00 	 1 343.83 Kè 	18.01.2023	2023-01-22	1.90%
169	1103.00	 85 913.00 	 1 244.92 Kè 	28.01.2023	2023-02-01	1.45%
170	1196.00	 97 353.00 	 1 244.79 Kè 	17.01.2023	2023-01-19	1.28%
171	1143.00	 18 496.00 	 256.94 Kè 	03.01.2023	2023-01-07	1.39%
172	1170.00	 88 818.00 	 1 192.24 Kè 	03.01.2023	2023-01-05	1.34%
173	1170.00	 40 210.00 	 595.95 Kè 	05.01.2023	2023-01-07	1.48%
174	1065.00	 37 909.00 	 753.16 Kè 	25.01.2023	2023-01-26	1.99%
175	1190.00	 32 808.00 	 601.13 Kè 	26.01.2023	2023-01-29	1.83%
176	1125.00	 69 286.00 	 980.31 Kè 	08.01.2023	2023-01-11	1.41%
177	1008.00	 77 824.00 	 1 229.03 Kè 	19.01.2023	2023-01-20	1.58%
178	1002.00	 23 055.00 	 386.64 Kè 	17.01.2023	2023-01-20	1.68%
179	1137.00	 76 065.00 	 787.58 Kè 	10.01.2023	2023-01-13	1.04%
180	1003.00	 93 405.00 	 1 126.68 Kè 	16.01.2023	2023-01-17	1.21%
181	1170.00	 23 632.00 	 437.53 Kè 	08.01.2023	2023-01-11	1.85%
182	1154.00	 84 689.00 	 997.60 Kè 	27.01.2023	2023-01-30	1.18%
183	1175.00	 86 603.00 	 1 433.91 Kè 	22.01.2023	2023-01-23	1.66%
184	1070.00	 69 903.00 	 1 176.89 Kè 	10.01.2023	2023-01-11	1.68%
185	1157.00	 58 304.00 	 960.38 Kè 	09.01.2023	2023-01-13	1.65%
186	1061.00	 65 403.00 	 932.94 Kè 	01.01.2023	2023-01-05	1.43%
187	1126.00	 46 368.00 	 856.94 Kè 	09.01.2023	2023-01-10	1.85%
188	1106.00	 22 690.00 	 333.13 Kè 	01.01.2023	2023-01-02	1.47%
189	1046.00	 47 665.00 	 757.18 Kè 	20.01.2023	2023-01-24	1.59%
190	1048.00	 86 945.00 	 1 448.37 Kè 	12.01.2023	2023-01-16	1.67%
191	1092.00	 81 212.00 	 1 608.50 Kè 	15.01.2023	2023-01-16	1.98%
192	1049.00	 72 967.00 	 810.99 Kè 	15.01.2023	2023-01-18	1.11%
193	1097.00	 60 187.00 	 748.32 Kè 	26.01.2023	2023-01-29	1.24%
194	1159.00	 64 324.00 	 831.40 Kè 	02.01.2023	2023-01-03	1.29%
195	1112.00	 83 629.00 	 853.48 Kè 	15.01.2023	2023-01-17	1.02%
196	1116.00	 48 534.00 	 533.56 Kè 	06.01.2023	2023-01-09	1.10%
197	1130.00	 89 437.00 	 1 773.79 Kè 	17.01.2023	2023-01-21	1.98%
198	1174.00	 51 402.00 	 717.93 Kè 	12.01.2023	2023-01-15	1.40%
199	1016.00	 16 533.00 	 245.73 Kè 	26.01.2023	2023-01-27	1.49%
200	1106.00	 38 813.00 	 629.98 Kè 	09.01.2023	2023-01-12	1.62%
201	1087.00	 31 961.00 	 525.37 Kè 	18.01.2023	2023-01-19	1.64%
202	1119.00	 70 581.00 	 1 109.52 Kè 	15.01.2023	2023-01-16	1.57%
203	1058.00	 20 071.00 	 324.16 Kè 	15.01.2023	2023-01-19	1.62%
204	1066.00	 28 350.00 	 488.37 Kè 	22.01.2023	2023-01-26	1.72%
205	1148.00	 88 590.00 	 1 623.21 Kè 	06.01.2023	2023-01-07	1.83%
206	1194.00	 13 782.00 	 226.96 Kè 	21.01.2023	2023-01-23	1.65%
207	1196.00	 23 147.00 	 249.71 Kè 	05.01.2023	2023-01-08	1.08%
208	1155.00	 52 914.00 	 617.48 Kè 	16.01.2023	2023-01-18	1.17%
209	1138.00	 63 973.00 	 962.86 Kè 	20.01.2023	2023-01-22	1.51%
210	1079.00	 85 679.00 	 1 634.52 Kè 	27.01.2023	2023-01-30	1.91%
211	1010.00	 11 477.00 	 182.57 Kè 	15.01.2023	2023-01-18	1.59%
212	1098.00	 82 886.00 	 1 472.06 Kè 	11.01.2023	2023-01-15	1.78%
213	1048.00	 67 738.00 	 1 086.29 Kè 	28.01.2023	2023-01-29	1.60%
214	1145.00	 61 198.00 	 1 211.44 Kè 	04.01.2023	2023-01-05	1.98%
215	1059.00	 17 170.00 	 209.45 Kè 	09.01.2023	2023-01-10	1.22%
216	1162.00	 83 759.00 	 1 134.38 Kè 	17.01.2023	2023-01-20	1.35%
217	1179.00	 84 100.00 	 1 346.59 Kè 	03.01.2023	2023-01-07	1.60%
218	1072.00	 67 449.00 	 1 264.55 Kè 	22.01.2023	2023-01-25	1.87%
219	1022.00	 80 493.00 	 1 496.35 Kè 	21.01.2023	2023-01-25	1.86%
220	1105.00	 94 673.00 	 1 365.80 Kè 	12.01.2023	2023-01-16	1.44%
221	1069.00	 10 966.00 	 183.76 Kè 	04.01.2023	2023-01-05	1.68%
222	1078.00	 26 676.00 	 358.02 Kè 	05.01.2023	2023-01-07	1.34%
223	1065.00	 50 221.00 	 506.25 Kè 	25.01.2023	2023-01-29	1.01%
224	1136.00	 15 002.00 	 268.66 Kè 	24.01.2023	2023-01-26	1.79%
225	1177.00	 51 993.00 	 556.28 Kè 	26.01.2023	2023-01-27	1.07%
226	1012.00	 72 471.00 	 1 208.09 Kè 	08.01.2023	2023-01-12	1.67%
227	1096.00	 39 735.00 	 623.70 Kè 	13.01.2023	2023-01-16	1.57%
228	1094.00	 74 388.00 	 957.94 Kè 	23.01.2023	2023-01-26	1.29%
229	1132.00	 26 374.00 	 371.72 Kè 	25.01.2023	2023-01-26	1.41%
230	1117.00	 92 118.00 	 928.63 Kè 	04.01.2023	2023-01-06	1.01%
231	1049.00	 43 532.00 	 690.39 Kè 	24.01.2023	2023-01-25	1.59%
232	1100.00	 14 080.00 	 158.23 Kè 	18.01.2023	2023-01-22	1.12%
233	1131.00	 3 362.00 	 62.06 Kè 	15.01.2023	2023-01-16	1.85%
234	1154.00	 85 621.00 	 1 102.13 Kè 	20.01.2023	2023-01-24	1.29%
235	1109.00	 76 011.00 	 1 135.99 Kè 	14.01.2023	2023-01-17	1.49%
236	1016.00	 77 008.00 	 1 314.15 Kè 	12.01.2023	2023-01-13	1.71%
237	1120.00	 65 128.00 	 1 059.56 Kè 	23.01.2023	2023-01-26	1.63%
238	1170.00	 26 282.00 	 436.20 Kè 	17.01.2023	2023-01-21	1.66%
239	1018.00	 9 083.00 	 105.42 Kè 	27.01.2023	2023-01-30	1.16%
240	1045.00	 79 854.00 	 1 400.32 Kè 	08.01.2023	2023-01-11	1.75%
241	1183.00	 58 322.00 	 857.27 Kè 	13.01.2023	2023-01-16	1.47%
242	1113.00	 37 178.00 	 721.80 Kè 	26.01.2023	2023-01-30	1.94%
243	1046.00	 9 716.00 	 186.43 Kè 	07.01.2023	2023-01-11	1.92%
244	1134.00	 72 879.00 	 1 031.18 Kè 	28.01.2023	2023-02-01	1.41%
245	1073.00	 38 692.00 	 613.59 Kè 	15.01.2023	2023-01-18	1.59%
246	1021.00	 79 191.00 	 1 019.04 Kè 	02.01.2023	2023-01-05	1.29%
247	1135.00	 50 754.00 	 524.30 Kè 	21.01.2023	2023-01-23	1.03%
248	1087.00	 79 234.00 	 1 564.49 Kè 	13.01.2023	2023-01-14	1.97%
249	1014.00	 73 667.00 	 780.41 Kè 	02.01.2023	2023-01-06	1.06%
250	1122.00	 20 576.00 	 332.75 Kè 	23.01.2023	2023-01-24	1.62%
251	1199.00	 65 133.00 	 1 014.38 Kè 	26.01.2023	2023-01-28	1.56%
252	1105.00	 20 904.00 	 246.32 Kè 	15.01.2023	2023-01-18	1.18%
253	1052.00	 94 392.00 	 1 647.08 Kè 	21.01.2023	2023-01-25	1.74%
254	1197.00	 61 792.00 	 784.74 Kè 	28.01.2023	2023-01-29	1.27%
255	1144.00	 94 241.00 	 1 315.43 Kè 	18.01.2023	2023-01-19	1.40%
256	1172.00	 23 196.00 	 425.66 Kè 	07.01.2023	2023-01-08	1.84%
257	1171.00	 38 485.00 	 702.58 Kè 	06.01.2023	2023-01-09	1.83%
258	1068.00	 72 161.00 	 1 091.26 Kè 	15.01.2023	2023-01-16	1.51%
259	1033.00	 31 170.00 	 510.55 Kè 	01.01.2023	2023-01-03	1.64%
260	1045.00	 11 216.00 	 208.30 Kè 	21.01.2023	2023-01-22	1.86%
261	1031.00	 17 900.00 	 324.17 Kè 	03.01.2023	2023-01-05	1.81%
262	1108.00	 17 258.00 	 197.77 Kè 	09.01.2023	2023-01-13	1.15%
263	1105.00	 58 662.00 	 726.16 Kè 	03.01.2023	2023-01-04	1.24%
264	1145.00	 33 363.00 	 392.87 Kè 	14.01.2023	2023-01-18	1.18%
265	1057.00	 30 129.00 	 346.53 Kè 	18.01.2023	2023-01-20	1.15%
266	1196.00	 69 070.00 	 913.47 Kè 	02.01.2023	2023-01-03	1.32%
267	1190.00	 80 369.00 	 1 362.47 Kè 	15.01.2023	2023-01-17	1.70%
268	1058.00	 86 514.00 	 1 296.10 Kè 	16.01.2023	2023-01-18	1.50%
269	1129.00	 63 548.00 	 958.60 Kè 	24.01.2023	2023-01-28	1.51%
270	1174.00	 25 572.00 	 451.65 Kè 	17.01.2023	2023-01-18	1.77%
271	1034.00	 73 725.00 	 914.17 Kè 	17.01.2023	2023-01-19	1.24%
272	1199.00	 88 031.00 	 1 676.06 Kè 	22.01.2023	2023-01-24	1.90%
273	1125.00	 77 304.00 	 1 087.73 Kè 	12.01.2023	2023-01-13	1.41%
274	1084.00	 53 579.00 	 769.15 Kè 	19.01.2023	2023-01-21	1.44%
275	1091.00	 11 985.00 	 204.95 Kè 	16.01.2023	2023-01-20	1.71%
276	1027.00	 22 661.00 	 419.40 Kè 	20.01.2023	2023-01-23	1.85%
277	1181.00	 61 215.00 	 717.84 Kè 	28.01.2023	2023-01-31	1.17%
278	1110.00	 82 569.00 	 1 490.24 Kè 	13.01.2023	2023-01-14	1.80%
279	1062.00	 5 430.00 	 62.95 Kè 	15.01.2023	2023-01-16	1.16%
280	1117.00	 68 828.00 	 1 038.91 Kè 	06.01.2023	2023-01-07	1.51%
281	1099.00	 94 183.00 	 980.91 Kè 	05.01.2023	2023-01-07	1.04%
282	1111.00	 22 753.00 	 366.83 Kè 	06.01.2023	2023-01-10	1.61%
283	1056.00	 97 699.00 	 1 206.18 Kè 	11.01.2023	2023-01-12	1.23%
284	1100.00	 33 378.00 	 491.94 Kè 	20.01.2023	2023-01-23	1.47%
285	1063.00	 39 322.00 	 516.24 Kè 	10.01.2023	2023-01-14	1.31%
286	1075.00	 7 909.00 	 94.08 Kè 	18.01.2023	2023-01-19	1.19%
287	1055.00	 61 048.00 	 835.51 Kè 	20.01.2023	2023-01-24	1.37%
288	1077.00	 1 464.00 	 21.82 Kè 	07.01.2023	2023-01-08	1.49%
289	1192.00	 79 000.00 	 1 482.76 Kè 	19.01.2023	2023-01-21	1.88%
290	1170.00	 94 328.00 	 1 176.17 Kè 	14.01.2023	2023-01-18	1.25%
291	1115.00	 5 360.00 	 81.59 Kè 	27.01.2023	2023-01-29	1.52%
292	1139.00	 46 573.00 	 540.72 Kè 	26.01.2023	2023-01-30	1.16%
293	1055.00	 10 952.00 	 124.21 Kè 	06.01.2023	2023-01-09	1.13%
294	1094.00	 63 441.00 	 979.37 Kè 	26.01.2023	2023-01-28	1.54%
295	1059.00	 24 028.00 	 409.19 Kè 	20.01.2023	2023-01-22	1.70%
296	1018.00	 75 835.00 	 1 146.51 Kè 	05.01.2023	2023-01-08	1.51%
297	1094.00	 40 564.00 	 635.05 Kè 	25.01.2023	2023-01-29	1.57%
298	1104.00	 99 117.00 	 1 668.35 Kè 	06.01.2023	2023-01-09	1.68%
299	1067.00	 84 473.00 	 916.97 Kè 	10.01.2023	2023-01-11	1.09%
300	1194.00	 70 401.00 	 1 225.74 Kè 	12.01.2023	2023-01-15	1.74%
301	1036.00	 1 194.00 	 16.46 Kè 	20.01.2023	2023-01-21	1.38%
302	1099.00	 91 087.00 	 1 364.26 Kè 	05.01.2023	2023-01-08	1.50%
303	1172.00	 15 004.00 	 247.86 Kè 	26.01.2023	2023-01-28	1.65%
304	1191.00	 41 977.00 	 787.91 Kè 	24.01.2023	2023-01-26	1.88%
305	1095.00	 38 825.00 	 765.28 Kè 	23.01.2023	2023-01-27	1.97%
306	1123.00	 2 427.00 	 30.53 Kè 	16.01.2023	2023-01-20	1.26%
307	1055.00	 80 148.00 	 1 270.10 Kè 	28.01.2023	2023-01-29	1.58%
308	1019.00	 49 313.00 	 919.26 Kè 	18.01.2023	2023-01-21	1.86%
309	1037.00	 10 468.00 	 179.66 Kè 	24.01.2023	2023-01-28	1.72%
310	1114.00	 12 940.00 	 227.23 Kè 	19.01.2023	2023-01-21	1.76%
311	1001.00	 66 733.00 	 736.82 Kè 	13.01.2023	2023-01-15	1.10%
